,bldg_Building_gml_id,damage_value_building,damage_value_contents,damage_value_total
260,bldg_75bada2b-66a5-457c-a4bb-9811a056fa6b,0.0,0.0,0.0
261,bldg_829f474e-d349-48c3-a68d-30a30b0990af,0.0,0.0,0.0
262,bldg_fba1eb9c-6299-4afe-8bd7-8733663fb09d,0.0,0.0,0.0
263,bldg_89b6451b-f8cd-4742-aaa1-2f2c0382d711,0.0,0.0,0.0
264,bldg_22af3ede-cdb2-44b5-a578-da4c44094212,0.0,0.0,0.0
265,bldg_3937ff0c-ca5a-468c-8122-74318422bf20,0.0,0.0,0.0
266,bldg_73028361-aa5d-4dc9-91cc-bfc4795d934f,0.0,0.0,0.0
267,bldg_9a123646-dcf3-4c73-af7e-9425b490b28e,0.0,0.0,0.0
268,bldg_a37734e1-2f3b-49f7-bdc7-8313871c6fcd,0.0,0.0,0.0
269,bldg_2e5c535f-82e5-4865-a845-a3c0a20915eb,0.0,0.0,0.0
270,bldg_66cb9d79-4ce1-43fc-b505-a016bc085828,0.0,0.0,0.0
271,bldg_cd9e831e-13f2-4ef2-ab32-4df25b8726c1,0.0,0.0,0.0
272,bldg_50f65d36-19b9-43f7-ab30-7c900d054c09,0.0,0.0,0.0
273,bldg_3c75b31f-0e3a-4605-bdac-8ae6727372ce,0.0,0.0,0.0
274,bldg_60d17859-f9ae-46fc-8ba7-bbea48340e26,0.0,0.0,0.0
275,bldg_c7f09c2d-103a-4144-bdcf-f5bafe607842,0.0,0.0,0.0
276,bldg_ce13e765-253d-46d5-acda-c977df31e2d4,0.0,0.0,0.0
277,bldg_2d739658-c1ab-4aa2-b691-2292f5e24607,0.0,0.0,0.0
278,bldg_48f58fe1-153e-45c6-b7fd-c1777c93d2ec,0.0,0.0,0.0
279,bldg_d5323531-6580-4507-94fd-49b43f43eb25,0.0,0.0,0.0
280,bldg_5bef471e-762a-4305-8272-a1391135eb7e,0.0,0.0,0.0
281,bldg_f636f521-8b92-4e10-97e2-514f5ad2c62c,0.0,0.0,0.0
282,bldg_cd8e68f4-bbb9-4d06-b6c7-78d4b2cf4971,0.0,0.0,0.0
283,bldg_d0692d54-99e8-4422-969d-d9bb83f3d08f,0.0,0.0,0.0
284,bldg_f623685d-d9e0-4a40-893e-c5737c34f7cb,0.0,0.0,0.0
285,bldg_8cfca14e-6320-4aa0-a944-7a5ec089952c,0.0,0.0,0.0
286,bldg_1a5bc4c0-248f-4865-ba72-57220d2dc45b,0.0,0.0,0.0
287,bldg_0f09e4bf-df90-4947-84a1-65a76f6c2822,0.0,0.0,0.0
288,bldg_c8d905bd-926b-450b-b758-58d2d4ed14d4,0.0,0.0,0.0
289,bldg_6b6b96c0-a3de-4c55-84e3-b87adc2a0b71,0.0,0.0,0.0
290,bldg_326b514c-92ba-4b54-82c2-8f754c436d8d,0.0,0.0,0.0
291,bldg_547dabf0-503d-466f-867f-494190806d40,0.0,0.0,0.0
292,bldg_6aad9432-134d-4169-aaf4-68f535896e29,0.0,0.0,0.0
293,bldg_cbbaa148-11e0-4faf-8a1a-7f1558fa79fa,0.0,0.0,0.0
294,bldg_e0d714c6-57ec-4159-a25f-4ba3e6c8307e,0.0,0.0,0.0
295,bldg_a33a26bf-bbd4-4059-9d19-ee442f1fd0c2,0.0,0.0,0.0
296,bldg_92d05a1e-4d61-41e4-a408-2cf1754863fc,0.0,0.0,0.0
297,bldg_99c0873b-0515-44ed-a3f9-fd502825d250,0.0,0.0,0.0
298,bldg_afe49c43-94d3-4b54-be36-5bdf15c44bc9,0.0,0.0,0.0
299,bldg_6c699d65-f72a-498c-af6b-c0b7e08cfb91,0.0,0.0,0.0
300,bldg_2d08e6a7-a687-47c9-b922-2df034380321,0.0,0.0,0.0
301,bldg_9d6111bc-1bee-4777-a00d-16c20b55c565,0.0,0.0,0.0
302,bldg_00c5ffac-d8bc-48c1-a8c0-b3f783b1c17f,0.0,0.0,0.0
303,bldg_2c96ef9d-7a7e-4867-b824-5420cea1eec0,0.0,0.0,0.0
